macro_signature	count	share	examples
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0021	p003-u052
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u053
c:1 a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p003-u073
c:1 a:1 MEDIAL_OP c:2 a:1 e:1 c:1 f:1 j:1	1	0.0021	p094-u016
c:1 e:1 a:1 MEDIAL_OP a:1 c:2 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p094-u018
c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u043
c:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p094-u031
c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u046
c:1 e:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u055
c:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u180
c:1 f:1 j:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p004-u004
c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u053
c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 c:2 h:2	1	0.0021	p003-u088
c:1 f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u068
c:1 f:1 j:1 e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p005-u088
c:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u090
c:2 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p005-u042
c:2 MEDIAL_OP e:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u019
c:2 MEDIAL_OP e:1 c:1 e:1 e:1 e:1 MEDIAL_OP d:1	1	0.0021	p004-u053
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u080
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1	1	0.0021	p005-u014
